ID	位置	中文	한국어	備註
BO.intro.1	strings.js · 自我介紹	喔……新室友啊。嗨，我是慢寶。	아…… 새 룸메이트구나. 나는 늘보야.	
BO.intro.2	strings.js · 自我介紹	平常你大概會看到我掛在那裡，不是在睡，就是懶得動。	평소엔 저기 매달려 자거나, 그냥 안 움직여.	
BO.intro.3	strings.js · 自我介紹	不過對吃，我很認真。	대신 먹는 건 진심이야.	
BO.intro.4	strings.js · 自我介紹	火候、香氣、哪一步不能省，我都會告訴你。	맛에는 까다롭고, 불 조절이랑 향 내는 법, 절대 빼먹으면 안 되는 건 내가 딱 알려줄게.	
BO.intro.5	strings.js · 自我介紹	你負責煮，我負責讓它好吃。	맛있는 거 앞에서는 나도 달라지거든.	
BO.intro.6	strings.js · 自我介紹	住一起嘛，至少飯要吃好一點。	우리, 밥만큼은 제대로 먹고 살자.	
U1	strings.js · 介面與固定台詞	慢寶	늘보	
U2	strings.js · 介面與固定台詞	今天也要好好吃飯	오늘도 잘 챙겨 먹자	
U3	strings.js · 介面與固定台詞	螢幕任一處點一下	화면 아무 곳이나 눌러 봐	
U4	strings.js · 介面與固定台詞	我知道要吃什麼	먹고 싶은 게 있어	
U5	strings.js · 介面與固定台詞	自己翻，看到想吃的就加進菜單	직접 둘러보고, 먹고 싶은 건 오늘의 메뉴에 추가	
U6	strings.js · 介面與固定台詞	完全沒想法	아무 생각도 없어	
U7	strings.js · 介面與固定台詞	回答三個問題，慢寶幫你挑	질문 세 개만 답하면 늘보가 골라 줄게	
U8	strings.js · 介面與固定台詞	食譜牆	레시피	
U10	strings.js · 介面與固定台詞	時間	시간	
U11	strings.js · 介面與固定台詞	難度	난이도	
U12	strings.js · 介面與固定台詞	幾人份	인분	
U13	strings.js · 介面與固定台詞	備料	재료 준비	
U14	strings.js · 介面與固定台詞	步驟	조리 순서	
U15	strings.js · 介面與固定台詞	先做，不然會卡住	먼저 해 두기 — 안 하면 막혀	
U16	strings.js · 介面與固定台詞	備料完成後，從這裡開始。	재료 준비가 끝났으면 여기서 시작.	
U17	strings.js · 介面與固定台詞	注意事項	조리 팁	
U18	strings.js · 介面與固定台詞	＋ 加入今日菜單	＋ 오늘의 메뉴에 추가	
U19	strings.js · 介面與固定台詞	✓ 已在今日菜單	✓ 오늘의 메뉴	
U20	strings.js · 介面與固定台詞	今日菜單	오늘의 메뉴	
U21	strings.js · 介面與固定台詞	買菜清單	장보기 목록	
U22	strings.js · 介面與固定台詞	關閉	닫기	
U23	strings.js · 介面與固定台詞	買完了，收工	다 샀다. 끝.	
